,age,gender,hnrnew,Personenzahl,Art_Unterkunft,deathrate,contacts_mean,agegroup
240,10,m,113,3,1,7.924e-05,18.22,10
241,43,m,125,4,1,0.00153974,13.83,40
242,43,f,125,4,1,0.00090807,13.83,40
243,17,f,125,4,1,0.00013616,17.58,15
244,14,f,125,4,1,9.221e-05,18.22,10
245,79,f,136,1,1,0.03141447,6.89,70
246,57,m,147,2,1,0.00733233,12.3,50
247,70,f,147,2,1,0.01259879,6.89,70
248,32,m,159,4,1,0.000634,14.14,30
249,28,f,159,4,1,0.00023564,13.57,20
250,5,m,159,4,1,0.00010046,14.81,5
251,0,m,159,4,1,0.00356226,10.21,0
252,33,f,171,1,1,0.00036033,14.14,30
253,51,m,182,4,1,0.00370198,12.3,50
254,44,f,182,4,1,0.00097058,13.83,40
255,18,f,182,4,1,0.00019702,17.58,15
256,15,f,182,4,1,0.00012167,17.58,15
257,58,f,193,1,1,0.00434941,12.3,50
258,80,m,204,1,1,0.05642286,6.89,70
259,50,f,216,5,1,0.0018532,12.3,50
260,51,m,216,5,1,0.00370198,12.3,50
261,24,m,216,5,1,0.00047486,13.57,20
262,79,f,216,5,1,0.03141447,6.89,70
263,32,f,216,5,1,0.00034263,14.14,30
264,75,f,227,1,1,0.01923138,6.89,70
265,33,m,239,2,1,0.00073168,14.14,30
266,27,f,239,2,1,0.00021518,13.57,20
267,29,f,250,4,1,0.00025877,13.57,20
268,35,m,250,4,1,0.00080225,14.14,30
269,4,m,250,4,1,0.00010653,10.21,0
270,0,m,250,4,1,0.00356226,10.21,0
271,47,m,261,1,1,0.00236791,13.83,40
272,69,m,277,1,1,0.02109939,9.21,60
273,71,m,288,2,1,0.0246394,6.89,70
274,69,f,288,2,1,0.0115546,9.21,60
275,25,m,299,2,1,0.00043792,13.57,20
276,22,f,299,2,1,0.00016281,13.57,20
277,67,m,310,4,1,0.01799621,9.21,60
278,37,f,310,4,1,0.00047466,14.14,30
279,12,f,310,4,1,7.852e-05,18.22,10
280,6,f,310,4,1,8.846e-05,14.81,5
281,71,m,321,2,1,0.0246394,6.89,70
282,65,f,321,2,1,0.00797044,9.21,60
283,73,m,332,2,1,0.02874623,6.89,70
284,69,f,332,2,1,0.0115546,9.21,60
285,84,m,343,18,2,0.09199371,6.89,70
286,89,f,343,18,2,0.12951794,6.89,70
287,90,f,343,18,2,0.1474761,6.89,70
288,90,f,343,18,2,0.1474761,6.89,70
289,89,f,343,18,2,0.12951794,6.89,70
290,86,f,343,18,2,0.08718,6.89,70
291,69,f,343,18,2,0.0115546,9.21,60
292,95,f,343,18,2,0.25277699,6.89,70
293,94,f,343,18,2,0.23016524,6.89,70
294,88,f,343,18,2,0.11420199,6.89,70
295,88,f,343,18,2,0.11420199,6.89,70
296,88,f,343,18,2,0.11420199,6.89,70
297,68,f,343,18,2,0.01046567,9.21,60
298,94,m,343,18,2,0.27001486,6.89,70
299,86,f,343,18,2,0.08718,6.89,70
300,72,f,343,18,2,0.01481358,6.89,70
301,83,f,343,18,2,0.05671146,6.89,70
302,76,f,343,18,2,0.02156594,6.89,70
303,46,m,355,2,1,0.00217916,13.83,40
304,74,m,355,2,1,0.03108519,6.89,70
305,44,f,367,2,1,0.00097058,13.83,40
306,64,m,367,2,1,0.01425244,9.21,60
307,79,f,378,1,1,0.03141447,6.89,70
308,68,m,389,1,1,0.01918012,9.21,60
309,83,f,400,1,1,0.05671146,6.89,70
310,64,m,411,1,1,0.01425244,9.21,60
311,45,f,422,1,1,0.00115224,13.83,40
312,66,m,433,1,1,0.01660601,9.21,60
313,81,f,444,1,1,0.04267387,6.89,70
314,53,m,455,1,1,0.00469739,12.3,50
315,45,m,467,5,1,0.0019587,13.83,40
316,41,f,467,5,1,0.00074026,13.83,40
317,17,f,467,5,1,0.00013616,17.58,15
318,14,m,467,5,1,0.00013566,18.22,10
319,7,m,467,5,1,8.614e-05,14.81,5
320,67,m,478,2,1,0.01799621,9.21,60
321,69,f,478,2,1,0.0115546,9.21,60
322,35,f,489,4,1,0.00041213,14.14,30
323,35,m,489,4,1,0.00080225,14.14,30
324,10,m,489,4,1,7.924e-05,18.22,10
325,6,f,489,4,1,8.846e-05,14.81,5
326,24,m,500,2,1,0.00047486,13.57,20
327,22,m,500,2,1,0.00045366,13.57,20
328,71,f,511,1,1,0.01370178,6.89,70
329,36,f,527,2,1,0.0004585,14.14,30
330,16,f,527,2,1,0.00014725,17.58,15
331,27,m,538,1,1,0.00046183,13.57,20
332,34,m,549,2,1,0.00076954,14.14,30
333,30,f,549,2,1,0.00031713,14.14,30
334,45,f,561,2,1,0.00115224,13.83,40
335,10,m,561,2,1,7.924e-05,18.22,10
336,26,m,572,2,1,0.00045886,13.57,20
337,24,f,572,2,1,0.00017994,13.57,20
338,65,m,587,2,1,0.01542111,9.21,60
339,27,m,587,2,1,0.00046183,13.57,20
340,31,f,598,1,1,0.000314,14.14,30
341,28,m,610,2,1,0.00048486,13.57,20
342,27,f,610,2,1,0.00021518,13.57,20
343,55,m,621,5,1,0.00591257,12.3,50
344,57,f,621,5,1,0.00392413,12.3,50
345,22,m,621,5,1,0.00045366,13.57,20
346,19,m,621,5,1,0.00039767,17.58,15
347,16,m,621,5,1,0.00024747,17.58,15
348,70,f,632,1,1,0.01259879,6.89,70
349,55,f,643,1,1,0.00324545,12.3,50
350,46,m,655,5,1,0.00217916,13.83,40
351,48,f,655,5,1,0.00159405,13.83,40
352,14,m,655,5,1,0.00013566,18.22,10
353,13,f,655,5,1,9.421e-05,18.22,10
354,10,m,655,5,1,7.924e-05,18.22,10
355,85,f,667,1,1,0.07612466,6.89,70
356,33,m,678,2,1,0.00073168,14.14,30
357,30,f,678,2,1,0.00031713,14.14,30
358,55,m,689,2,1,0.00591257,12.3,50
359,47,f,689,2,1,0.0013703,13.83,40
360,37,m,701,1,1,0.00097983,14.14,30
361,20,m,712,1,1,0.00043184,13.57,20
362,69,f,723,1,1,0.0115546,9.21,60
363,48,m,734,1,1,0.00265551,13.83,40
364,64,f,750,2,1,0.00747267,9.21,60
365,71,m,750,2,1,0.0246394,6.89,70
366,42,f,761,1,1,0.00079376,13.83,40
367,50,f,772,1,1,0.0018532,12.3,50
368,68,m,786,2,1,0.01918012,9.21,60
369,67,f,786,2,1,0.00948222,9.21,60
370,78,f,797,1,1,0.02744802,6.89,70
371,44,m,808,3,1,0.001798,13.83,40
372,46,f,808,3,1,0.00121751,13.83,40
373,15,m,808,3,1,0.00015987,17.58,15
374,78,m,820,2,1,0.04546946,6.89,70
375,71,f,820,2,1,0.01370178,6.89,70
376,69,f,831,1,1,0.0115546,9.21,60
377,42,f,842,3,1,0.00079376,13.83,40
378,15,m,842,3,1,0.00015987,17.58,15
379,4,f,842,3,1,9.569e-05,10.21,0
380,40,m,855,1,1,0.00123774,13.83,40
381,62,f,866,1,1,0.00613444,9.21,60
382,41,m,877,4,1,0.00133379,13.83,40
383,37,f,877,4,1,0.00047466,14.14,30
384,10,m,877,4,1,7.924e-05,18.22,10
385,1,m,877,4,1,0.00027641,10.21,0
386,81,f,888,1,1,0.04267387,6.89,70
387,67,m,901,2,1,0.01799621,9.21,60
388,64,f,901,2,1,0.00747267,9.21,60
389,90,f,914,1,1,0.1474761,6.89,70
390,80,m,925,2,1,0.05642286,6.89,70
391,75,f,925,2,1,0.01923138,6.89,70
392,37,m,937,4,1,0.00097983,14.14,30
393,35,f,937,4,1,0.00041213,14.14,30
394,11,m,937,4,1,7.74e-05,18.22,10
395,8,f,937,4,1,6.968e-05,14.81,5
396,39,m,948,3,1,0.00111397,14.14,30
397,36,f,948,3,1,0.0004585,14.14,30
398,12,m,948,3,1,6.884e-05,18.22,10
399,45,f,959,1,1,0.00115224,13.83,40
400,25,m,960,3,1,0.00043792,13.57,20
401,29,f,960,3,1,0.00025877,13.57,20
402,10,m,960,3,1,7.924e-05,18.22,10
403,61,m,971,2,1,0.01082143,9.21,60
404,58,f,971,2,1,0.00434941,12.3,50
405,63,m,982,2,1,0.01297814,9.21,60
406,60,f,982,2,1,0.00527596,9.21,60
407,49,m,993,3,1,0.00297126,13.83,40
408,48,f,993,3,1,0.00159405,13.83,40
409,19,f,993,3,1,0.00017479,17.58,15
410,72,f,1004,1,1,0.01481358,6.89,70
411,47,m,1015,3,1,0.00236791,13.83,40
412,49,f,1015,3,1,0.00174807,13.83,40
413,13,f,1015,3,1,9.421e-05,18.22,10
414,75,f,1026,1,1,0.01923138,6.89,70
415,40,m,1037,6,1,0.00123774,13.83,40
416,32,f,1037,6,1,0.00034263,14.14,30
417,10,m,1037,6,1,7.924e-05,18.22,10
418,9,m,1037,6,1,8.001e-05,14.81,5
419,7,m,1037,6,1,8.614e-05,14.81,5
420,2,f,1037,6,1,0.00012423,10.21,0
421,51,m,1049,2,1,0.00370198,12.3,50
422,50,f,1049,2,1,0.0018532,12.3,50
423,45,f,1060,1,1,0.00115224,13.83,40
424,72,f,1071,1,1,0.01481358,6.89,70
425,74,f,1082,1,1,0.01784317,6.89,70
426,75,m,1093,2,1,0.03362174,6.89,70
427,70,f,1093,2,1,0.01259879,6.89,70
428,42,m,1104,4,1,0.00144076,13.83,40
429,34,f,1104,4,1,0.000406,14.14,30
430,2,m,1104,4,1,0.00015611,10.21,0
431,5,m,1104,4,1,0.00010046,14.81,5
432,35,m,1115,2,1,0.00080225,14.14,30
433,28,f,1115,2,1,0.00023564,13.57,20
434,43,m,1127,3,1,0.00153974,13.83,40
435,37,f,1127,3,1,0.00047466,14.14,30
436,8,m,1127,3,1,8.552e-05,14.81,5
437,33,m,1138,3,1,0.00073168,14.14,30
438,34,f,1138,3,1,0.000406,14.14,30
439,2,f,1138,3,1,0.00012423,10.21,0
440,29,m,1149,1,1,0.00052165,13.57,20
441,39,m,1162,3,1,0.00111397,14.14,30
442,11,f,1162,3,1,7.733e-05,18.22,10
443,8,m,1162,3,1,8.552e-05,14.81,5
444,39,m,1173,3,1,0.00111397,14.14,30
445,39,f,1173,3,1,0.00060115,14.14,30
446,2,m,1173,3,1,0.00015611,10.21,0
447,89,f,1184,1,1,0.12951794,6.89,70
448,44,m,1195,3,1,0.001798,13.83,40
449,45,f,1195,3,1,0.00115224,13.83,40
450,10,f,1195,3,1,5.849e-05,18.22,10
451,43,m,1208,3,1,0.00153974,13.83,40
452,31,f,1208,3,1,0.000314,14.14,30
453,3,m,1208,3,1,0.00010894,10.21,0
454,80,f,1219,1,1,0.03646149,6.89,70
455,66,m,1230,2,1,0.01660601,9.21,60
456,59,f,1230,2,1,0.00470636,12.3,50
457,60,m,1241,3,1,0.00983124,9.21,60
458,59,f,1241,3,1,0.00470636,12.3,50
459,27,f,1241,3,1,0.00021518,13.57,20
460,41,f,1252,4,1,0.00074026,13.83,40
461,41,m,1252,4,1,0.00133379,13.83,40
462,9,f,1252,4,1,6.117e-05,14.81,5
463,4,m,1252,4,1,0.00010653,10.21,0
464,63,m,1263,2,1,0.01297814,9.21,60
465,58,f,1263,2,1,0.00434941,12.3,50
466,45,m,1275,3,1,0.0019587,13.83,40
467,44,f,1275,3,1,0.00097058,13.83,40
468,17,m,1275,3,1,0.00027475,17.58,15
469,46,m,1286,4,1,0.00217916,13.83,40
470,44,f,1286,4,1,0.00097058,13.83,40
471,18,f,1286,4,1,0.00019702,17.58,15
472,16,f,1286,4,1,0.00014725,17.58,15
473,45,m,1297,3,1,0.0019587,13.83,40
474,46,f,1297,3,1,0.00121751,13.83,40
475,18,f,1297,3,1,0.00019702,17.58,15
476,58,m,1308,2,1,0.00815644,12.3,50
477,49,f,1308,2,1,0.00174807,13.83,40
478,85,f,1319,1,1,0.07612466,6.89,70
479,82,m,1330,2,1,0.07265536,6.89,70
480,72,f,1330,2,1,0.01481358,6.89,70
481,70,f,1341,1,1,0.01259879,6.89,70
482,47,m,1353,1,1,0.00236791,13.83,40
483,71,m,1365,2,1,0.0246394,6.89,70
484,70,f,1365,2,1,0.01259879,6.89,70
485,83,f,1376,1,1,0.05671146,6.89,70
486,47,m,1388,2,1,0.00236791,13.83,40
487,47,f,1388,2,1,0.0013703,13.83,40
488,58,f,1401,2,1,0.00434941,12.3,50
489,17,m,1401,2,1,0.00027475,17.58,15
490,55,m,1412,4,1,0.00591257,12.3,50
491,44,f,1412,4,1,0.00097058,13.83,40
492,14,f,1412,4,1,9.221e-05,18.22,10
493,6,f,1412,4,1,8.846e-05,14.81,5
494,43,f,1423,3,1,0.00090807,13.83,40
495,18,f,1423,3,1,0.00019702,17.58,15
496,14,m,1423,3,1,0.00013566,18.22,10
497,62,f,1434,2,1,0.00613444,9.21,60
498,55,m,1434,2,1,0.00591257,12.3,50
499,42,m,1445,2,1,0.00144076,13.83,40
500,42,f,1445,2,1,0.00079376,13.83,40
501,48,m,1456,1,1,0.00265551,13.83,40
502,71,f,1467,1,1,0.01370178,6.89,70
503,84,m,1478,2,1,0.09199371,6.89,70
504,83,f,1478,2,1,0.05671146,6.89,70
505,79,f,1491,1,1,0.03141447,6.89,70
506,52,m,1503,4,1,0.00414072,12.3,50
507,45,f,1503,4,1,0.00115224,13.83,40
508,15,f,1503,4,1,0.00012167,17.58,15
509,15,m,1503,4,1,0.00015987,17.58,15
510,73,m,1514,2,1,0.02874623,6.89,70
511,69,f,1514,2,1,0.0115546,9.21,60
512,26,m,1525,2,1,0.00045886,13.57,20
513,26,f,1525,2,1,0.0001882,13.57,20
514,37,m,1536,2,1,0.00097983,14.14,30
515,69,f,1536,2,1,0.0115546,9.21,60
516,61,m,1548,2,1,0.01082143,9.21,60
517,58,f,1548,2,1,0.00434941,12.3,50
518,56,m,1559,2,1,0.00658737,12.3,50
519,58,f,1559,2,1,0.00434941,12.3,50
520,25,m,1570,1,1,0.00043792,13.57,20
521,25,m,1586,2,1,0.00043792,13.57,20
522,23,f,1586,2,1,0.00017996,13.57,20
523,72,m,1597,2,1,0.02618392,6.89,70
524,67,f,1597,2,1,0.00948222,9.21,60
525,49,m,1608,3,1,0.00297126,13.83,40
526,49,f,1608,3,1,0.00174807,13.83,40
527,79,f,1608,3,1,0.03141447,6.89,70
528,24,m,1620,1,2,0.00047486,13.57,20
529,23,m,1621,1,1,0.00040954,13.57,20
530,24,m,1622,1,1,0.00047486,13.57,20
531,60,m,1634,1,1,0.00983124,9.21,60
532,56,m,1645,2,1,0.00658737,12.3,50
533,54,f,1645,2,1,0.0028887,12.3,50
534,45,m,1656,3,1,0.0019587,13.83,40
535,44,f,1656,3,1,0.00097058,13.83,40
536,3,m,1656,3,1,0.00010894,10.21,0
537,50,f,1667,2,1,0.0018532,12.3,50
538,20,m,1667,2,1,0.00043184,13.57,20
539,48,m,1678,1,1,0.00265551,13.83,40
540,36,m,1689,1,1,0.00085947,14.14,30
541,85,f,1700,1,1,0.07612466,6.89,70
542,81,m,1711,2,1,0.06453153,6.89,70
543,86,f,1711,2,1,0.08718,6.89,70
544,46,f,1722,4,1,0.00121751,13.83,40
545,47,m,1722,4,1,0.00236791,13.83,40
546,19,f,1722,4,1,0.00017479,17.58,15
547,18,f,1722,4,1,0.00019702,17.58,15
548,29,m,1734,2,1,0.00052165,13.57,20
549,26,f,1734,2,1,0.0001882,13.57,20
550,46,f,1745,4,1,0.00121751,13.83,40
551,45,m,1745,4,1,0.0019587,13.83,40
552,19,m,1745,4,1,0.00039767,17.58,15
553,16,f,1745,4,1,0.00014725,17.58,15
554,33,m,1756,3,1,0.00073168,14.14,30
555,32,f,1756,3,1,0.00034263,14.14,30
556,1,f,1756,3,1,0.00024794,10.21,0
557,91,f,1767,1,1,0.16763449,6.89,70
558,58,m,1778,2,1,0.00815644,12.3,50
559,62,f,1778,2,1,0.00613444,9.21,60
560,80,f,1789,1,1,0.03646149,6.89,70
561,56,f,1800,2,1,0.00357696,12.3,50
